# ljz_20131022_MR_Chym1_ELUTE.mzML
# index,id,event,analyzer,msLevel,rt,sumIntensity,peakMZ,peakIntensity
151,controllerType=0 controllerNumber=1 scan=154,1,Unknown,ms1,49.41,15095.9053,1205.5505,15095.9053
210,controllerType=0 controllerNumber=1 scan=213,1,Unknown,ms1,68.43,14077.5557,1205.5506,14077.5557
240,controllerType=0 controllerNumber=1 scan=243,1,Unknown,ms1,78.20,29673.0313,1205.5506,29673.0313
373,controllerType=0 controllerNumber=1 scan=376,1,Unknown,ms1,121.04,15544.9033,1205.5507,15544.9033
687,controllerType=0 controllerNumber=1 scan=690,1,Unknown,ms1,223.21,21850.9180,1205.5506,21850.9180
958,controllerType=0 controllerNumber=1 scan=961,1,Unknown,ms1,311.56,14641.2686,1205.5505,14641.2686
980,controllerType=0 controllerNumber=1 scan=983,1,Unknown,ms1,318.71,28701.1699,1205.5506,28701.1699
1176,controllerType=0 controllerNumber=1 scan=1179,1,Unknown,ms1,381.83,28187.0566,1205.5509,28187.0566
1501,controllerType=0 controllerNumber=1 scan=1507,1,Unknown,ms1,488.65,26717.8379,1205.5509,26717.8379
1648,controllerType=0 controllerNumber=1 scan=1656,1,Unknown,ms1,536.78,12902.4717,1205.5507,12902.4717
1685,controllerType=0 controllerNumber=1 scan=1694,1,Unknown,ms1,548.86,31371.3301,1205.5506,31371.3301
1727,controllerType=0 controllerNumber=1 scan=1737,1,Unknown,ms1,562.46,36401.5859,1205.5506,36401.5859
1763,controllerType=0 controllerNumber=1 scan=1774,1,Unknown,ms1,574.10,34468.9531,1205.5506,34468.9531
1927,controllerType=0 controllerNumber=1 scan=1945,1,Unknown,ms1,628.98,26617.3359,1205.5502,26617.3359
1974,controllerType=0 controllerNumber=1 scan=1994,1,Unknown,ms1,644.56,9992.0361,1205.5504,9992.0361
1995,controllerType=0 controllerNumber=1 scan=2015,1,Unknown,ms1,651.54,24349.7266,1205.5503,24349.7266
2090,controllerType=0 controllerNumber=1 scan=2112,1,Unknown,ms1,682.23,24887.0313,1205.5503,24887.0313
2124,controllerType=0 controllerNumber=1 scan=2147,1,Unknown,ms1,693.27,9983.8730,1205.5504,9983.8730
3006,controllerType=0 controllerNumber=1 scan=3063,1,Unknown,ms1,989.30,23335.3359,1205.5506,23335.3359
3030,controllerType=0 controllerNumber=1 scan=3087,1,Unknown,ms1,997.13,16088.3389,1205.5505,16088.3389
3391,controllerType=0 controllerNumber=1 scan=3459,1,Unknown,ms1,1115.37,35136.8477,1205.5501,35136.8477
3431,controllerType=0 controllerNumber=1 scan=3499,1,Unknown,ms1,1128.25,15265.3594,1205.5501,15265.3594
3568,controllerType=0 controllerNumber=1 scan=3642,1,Unknown,ms1,1174.54,16861.5488,1205.5502,16861.5488
3679,controllerType=0 controllerNumber=1 scan=3760,1,Unknown,ms1,1211.63,18898.0078,1205.5499,18898.0078
3721,controllerType=0 controllerNumber=1 scan=3805,1,Unknown,ms1,1225.40,20142.5781,1205.5502,20142.5781
4760,controllerType=0 controllerNumber=1 scan=4997,1,Unknown,ms1,1585.13,33889.7930,1205.5504,33889.7930
4875,controllerType=0 controllerNumber=1 scan=5183,1,Unknown,ms1,1633.13,15961.8242,1205.5489,15961.8242
4901,controllerType=0 controllerNumber=1 scan=5227,1,Unknown,ms1,1644.46,36681.8438,1205.5490,36681.8438
4973,controllerType=0 controllerNumber=1 scan=5379,1,Unknown,ms1,1680.09,14424.4863,1205.5493,14424.4863
4974,controllerType=0 controllerNumber=1 scan=5380,1,Unknown,ms1,1680.45,11786.0469,1205.5494,11786.0469
4975,controllerType=0 controllerNumber=1 scan=5384,1,Unknown,ms1,1681.15,27003.6211,1205.5493,27003.6211
4977,controllerType=0 controllerNumber=1 scan=5393,1,Unknown,ms1,1682.92,20028.3418,1205.5515,20028.3418
