# ljz_20131022_MR_Chym1_ELUTE.mzML
# index,id,event,analyzer,msLevel,rt,m/z,intensity
627,controllerType=0 controllerNumber=1 scan=630,1,Unknown,ms1,203.97,845.0418,0.0000
1034,controllerType=0 controllerNumber=1 scan=1037,1,Unknown,ms1,336.00,845.0418,20345.4941
2170,controllerType=0 controllerNumber=1 scan=2197,1,Unknown,ms1,709.36,845.0415,0.0000
2284,controllerType=0 controllerNumber=1 scan=2323,1,Unknown,ms1,747.93,845.0415,0.0000
2434,controllerType=0 controllerNumber=1 scan=2483,1,Unknown,ms1,799.37,845.0417,0.0000
2602,controllerType=0 controllerNumber=1 scan=2655,1,Unknown,ms1,855.52,845.0416,23880.9395
2689,controllerType=0 controllerNumber=1 scan=2742,1,Unknown,ms1,883.68,845.0417,0.0000
2734,controllerType=0 controllerNumber=1 scan=2788,1,Unknown,ms1,898.74,845.0418,23229.1816
3001,controllerType=0 controllerNumber=1 scan=3058,1,Unknown,ms1,987.73,845.0418,0.0000
3527,controllerType=0 controllerNumber=1 scan=3599,1,Unknown,ms1,1160.70,845.0415,0.0000
3574,controllerType=0 controllerNumber=1 scan=3650,1,Unknown,ms1,1176.95,845.0414,0.0000
3700,controllerType=0 controllerNumber=1 scan=3784,1,Unknown,ms1,1218.77,845.0414,0.0000
3967,controllerType=0 controllerNumber=1 scan=4076,1,Unknown,ms1,1308.95,845.0415,0.0000
4054,controllerType=0 controllerNumber=1 scan=4171,1,Unknown,ms1,1338.17,845.0417,0.0000
4111,controllerType=0 controllerNumber=1 scan=4233,1,Unknown,ms1,1357.35,845.0417,0.0000
4209,controllerType=0 controllerNumber=1 scan=4337,1,Unknown,ms1,1389.52,845.0418,0.0000
4256,controllerType=0 controllerNumber=1 scan=4388,1,Unknown,ms1,1405.33,845.0419,0.0000
4273,controllerType=0 controllerNumber=1 scan=4405,1,Unknown,ms1,1410.95,845.0416,24665.4980
4287,controllerType=0 controllerNumber=1 scan=4420,1,Unknown,ms1,1415.83,845.0414,0.0000
4519,controllerType=0 controllerNumber=1 scan=4675,1,Unknown,ms1,1494.65,845.0418,24704.0703
4529,controllerType=0 controllerNumber=1 scan=4685,1,Unknown,ms1,1498.01,845.0418,0.0000
4562,controllerType=0 controllerNumber=1 scan=4721,1,Unknown,ms1,1509.35,845.0416,31269.8672
4618,controllerType=0 controllerNumber=1 scan=4800,1,Unknown,ms1,1531.02,845.0414,10487.8008
4691,controllerType=0 controllerNumber=1 scan=4905,1,Unknown,ms1,1559.49,845.0415,31876.1602
4727,controllerType=0 controllerNumber=1 scan=4951,1,Unknown,ms1,1572.49,845.0416,0.0000
4752,controllerType=0 controllerNumber=1 scan=4985,1,Unknown,ms1,1581.97,845.0416,0.0000
4819,controllerType=0 controllerNumber=1 scan=5085,1,Unknown,ms1,1608.73,845.0416,0.0000
4833,controllerType=0 controllerNumber=1 scan=5104,1,Unknown,ms1,1613.88,845.0414,36572.4297
4851,controllerType=0 controllerNumber=1 scan=5137,1,Unknown,ms1,1622.11,845.0414,8886.3672
4862,controllerType=0 controllerNumber=1 scan=5157,1,Unknown,ms1,1627.04,845.0408,50761.6719
4873,controllerType=0 controllerNumber=1 scan=5179,1,Unknown,ms1,1632.10,845.0405,33064.1523
4882,controllerType=0 controllerNumber=1 scan=5194,1,Unknown,ms1,1636.17,845.0405,38062.3477
4889,controllerType=0 controllerNumber=1 scan=5206,1,Unknown,ms1,1639.20,845.0402,0.0000
4890,controllerType=0 controllerNumber=1 scan=5207,1,Unknown,ms1,1639.56,845.0406,41226.5859
4909,controllerType=0 controllerNumber=1 scan=5241,1,Unknown,ms1,1648.04,845.0406,0.0000
4955,controllerType=0 controllerNumber=1 scan=5328,1,Unknown,ms1,1669.26,845.0409,27327.0938
4985,controllerType=0 controllerNumber=1 scan=5424,1,Unknown,ms1,1688.99,845.0404,0.0000
4991,controllerType=0 controllerNumber=1 scan=5456,1,Unknown,ms1,1694.50,845.0393,493162.4375
4991,controllerType=0 controllerNumber=1 scan=5456,1,Unknown,ms1,1694.50,845.0451,514233.4063
4994,controllerType=0 controllerNumber=1 scan=5477,1,Unknown,ms1,1697.64,845.0399,555370.8750
4994,controllerType=0 controllerNumber=1 scan=5477,1,Unknown,ms1,1697.64,845.0458,505336.6563
4995,controllerType=0 controllerNumber=1 scan=5478,1,Unknown,ms1,1698.01,845.0400,1327190.0000
4998,controllerType=0 controllerNumber=1 scan=5484,1,Unknown,ms1,1699.30,845.0403,1264188.1250
5001,controllerType=0 controllerNumber=1 scan=5495,1,Unknown,ms1,1701.45,845.0407,1581256.3750
5003,controllerType=0 controllerNumber=1 scan=5500,1,Unknown,ms1,1702.36,845.0409,772878.8125
5004,controllerType=0 controllerNumber=1 scan=5501,1,Unknown,ms1,1702.73,845.0408,622239.6875
5011,controllerType=0 controllerNumber=1 scan=5514,1,Unknown,ms1,1705.77,845.0411,372601.2188
5020,controllerType=0 controllerNumber=1 scan=5533,1,Unknown,ms1,1710.04,845.0411,320464.5938
5026,controllerType=0 controllerNumber=1 scan=5551,1,Unknown,ms1,1713.64,845.0409,187117.5938
5030,controllerType=0 controllerNumber=1 scan=5573,1,Unknown,ms1,1717.48,845.0406,88544.8672
5038,controllerType=0 controllerNumber=1 scan=5619,1,Unknown,ms1,1725.09,845.0404,31672.2793
5042,controllerType=0 controllerNumber=1 scan=5637,1,Unknown,ms1,1728.30,845.0407,71349.1875
5048,controllerType=0 controllerNumber=1 scan=5659,1,Unknown,ms1,1732.59,845.0408,0.0000
5050,controllerType=0 controllerNumber=1 scan=5667,1,Unknown,ms1,1734.12,845.0410,69674.9375
5056,controllerType=0 controllerNumber=1 scan=5689,1,Unknown,ms1,1738.34,845.0410,35468.0000
5062,controllerType=0 controllerNumber=1 scan=5711,1,Unknown,ms1,1742.52,845.0414,0.0000
5065,controllerType=0 controllerNumber=1 scan=5719,1,Unknown,ms1,1744.13,845.0414,36224.5273
5067,controllerType=0 controllerNumber=1 scan=5734,1,Unknown,ms1,1746.73,845.0412,19146.4512
5068,controllerType=0 controllerNumber=1 scan=5745,1,Unknown,ms1,1748.52,845.0412,0.0000
5071,controllerType=0 controllerNumber=1 scan=5761,1,Unknown,ms1,1751.24,845.0411,37555.4531
5073,controllerType=0 controllerNumber=1 scan=5767,1,Unknown,ms1,1752.65,845.0410,38819.9492
5074,controllerType=0 controllerNumber=1 scan=5774,1,Unknown,ms1,1753.81,845.0409,38704.3477
5076,controllerType=0 controllerNumber=1 scan=5781,1,Unknown,ms1,1755.25,845.0408,50752.0352
5077,controllerType=0 controllerNumber=1 scan=5787,1,Unknown,ms1,1756.45,845.0408,38463.6836
5078,controllerType=0 controllerNumber=1 scan=5788,1,Unknown,ms1,1756.81,845.0408,46983.8438
5079,controllerType=0 controllerNumber=1 scan=5794,1,Unknown,ms1,1757.83,845.0409,36857.3281
5080,controllerType=0 controllerNumber=1 scan=5795,1,Unknown,ms1,1758.20,845.0408,98302.7266
5082,controllerType=0 controllerNumber=1 scan=5808,1,Unknown,ms1,1760.34,845.0406,59076.0117
5083,controllerType=0 controllerNumber=1 scan=5813,1,Unknown,ms1,1761.19,845.0406,34475.4414
5086,controllerType=0 controllerNumber=1 scan=5819,1,Unknown,ms1,1762.65,845.0407,63161.4883
5087,controllerType=0 controllerNumber=1 scan=5824,1,Unknown,ms1,1763.56,845.0407,0.0000
5089,controllerType=0 controllerNumber=1 scan=5833,1,Unknown,ms1,1765.27,845.0407,77630.3047
5093,controllerType=0 controllerNumber=1 scan=5845,1,Unknown,ms1,1767.91,845.0408,43476.0508
5094,controllerType=0 controllerNumber=1 scan=5849,1,Unknown,ms1,1768.53,845.0405,119706.3594
5095,controllerType=0 controllerNumber=1 scan=5852,1,Unknown,ms1,1769.15,845.0406,74876.9766
5096,controllerType=0 controllerNumber=1 scan=5853,1,Unknown,ms1,1769.52,845.0406,29070.7383
5097,controllerType=0 controllerNumber=1 scan=5859,1,Unknown,ms1,1770.53,845.0405,133487.9063
5098,controllerType=0 controllerNumber=1 scan=5862,1,Unknown,ms1,1771.05,845.0406,145361.7188
5100,controllerType=0 controllerNumber=1 scan=5868,1,Unknown,ms1,1772.35,845.0406,152251.9063
5101,controllerType=0 controllerNumber=1 scan=5869,1,Unknown,ms1,1772.66,845.0406,39815.8828
5102,controllerType=0 controllerNumber=1 scan=5873,1,Unknown,ms1,1773.36,845.0405,126190.6406
