# ljz_20131022_MR_Chym1_ELUTE.mzML,,,,,,,,,,,,,,,,
index,id,event,analyzer,msLevel,rt,mzLow,mzHigh,basePeakMZ,basePeakInt,TIC,charge,precursorMZ,thermo_monoMZ,filterStringMZ,ionInjectionTime,obs.mass
0,0.1.90,2,Unknown,ms2,29,99,702,240.0962,156267.72,977968.62,2,330.19,328.1621,330.19,120,658.3654
1,0.1.91,2,Unknown,ms2,29.21,99,924,107.9676,8359.24,53067.76,2,437.7461,437.7462,437.75,120,873.4776
2,0.1.1326,2,Unknown,ms2,429.42,99,1020,483.1541,114055.92,211175.75,2,484.1536,481.1548,484.15,120,966.2926
3,0.1.1442,2,Unknown,ms2,467.63,99,682,149.0239,11642.32,45704.06,2,321.2039,321.2044,321.2,120,640.3932
4,0.1.1478,2,Unknown,ms2,479.22,99,924,570.3623,7573.94,72557.03,2,437.7465,437.7462,437.75,120,873.4784
5,0.1.1542,2,Unknown,ms2,499.9,99,924,101.0717,11223.71,85804.48,2,437.7462,437.746,437.75,120,873.4778
6,0.1.1628,2,Unknown,ms2,527.57,99,924,101.0717,11132.65,59707.69,2,437.7466,437.7463,437.75,120,873.4786
7,0.1.1663,2,Unknown,ms2,538.95,99,965,111.1175,109505.42,405097.97,3,305.4997,305.4993,305.5,120,913.4773
8,0.1.1702,2,Unknown,ms2,551.44,99,924,101.0716,6294.38,55488.01,2,437.7457,437.7464,437.75,120,873.4768
9,0.1.1769,2,Unknown,ms2,572.61,99,965,111.1175,122292.02,383335.09,3,305.4995,305.4999,305.5,120,913.4767
10,0.1.1783,2,Unknown,ms2,576.89,99,682,416.2264,44865.41,213551.92,2,322.1815,322.1815,322.18,120,642.3484
11,0.1.1787,2,Unknown,ms2,578.07,99,924,101.0718,10524.38,68779.85,2,437.7461,437.7461,437.75,120,873.4776
12,0.1.1807,2,Unknown,ms2,584.39,99,1748,705.3813,16028.58,84271.54,2,836.8646,836.8647,837.37,120,1671.715
13,0.1.1847,2,Unknown,ms2,597.29,99,682,416.2266,118277.41,512072.16,2,322.1812,322.1814,322.18,120,642.3478
14,0.1.1866,2,Unknown,ms2,603.37,99,924,101.0718,11021.59,55188.21,2,437.7463,437.7465,437.75,120,873.478
15,0.1.1909,2,Unknown,ms2,617.67,99,682,416.2265,110036.1,507257.72,2,322.1812,322.1814,322.18,120,642.3478
16,0.1.1929,2,Unknown,ms2,623.87,99,924,101.0716,11233.06,86141.13,2,437.7462,437.7456,437.75,120,873.4778
17,0.1.1976,2,Unknown,ms2,639.22,99,682,416.2268,51487.72,258296.19,2,322.1813,322.1814,322.18,120,642.348
18,0.1.1993,2,Unknown,ms2,644.41,99,924,101.0717,9730.54,72235.28,2,437.7462,437.7463,437.75,120,873.4778
19,0.1.2052,2,Unknown,ms2,663.32,99,682,416.2263,28886.62,130676.64,2,321.204,321.2043,321.2,120,640.3934
20,0.1.2060,2,Unknown,ms2,665.74,99,924,101.0717,10745.54,67377.6,2,437.7462,437.7467,437.75,120,873.4778
21,0.1.2128,2,Unknown,ms2,687.34,99,803,231.651,31542.34,188080.58,2,380.701,380.7011,380.7,120,759.3874
22,0.1.2185,2,Unknown,ms2,706.19,99,864,409.135,139125.31,1139546.1,2,409.7262,409.7261,409.73,120,817.4378
23,0.1.2188,2,Unknown,ms2,707.01,99,2687,733.3731,9820,120080.91,4,646.0354,646.0351,646.29,120,2580.112
24,0.1.2190,2,Unknown,ms2,707.42,99,803,231.6511,71128.02,385601.75,2,380.7012,380.7016,380.7,120,759.3878
25,0.1.2193,2,Unknown,ms2,708.22,99,697,239.0955,1639728.1,3872708,2,328.1733,328.1888,328.19,120,654.332
26,0.1.2229,2,Unknown,ms2,719.56,99,924,101.0717,8709.13,41595.86,2,437.7464,437.7462,437.75,120,873.4782
27,0.1.2251,2,Unknown,ms2,726.49,99,864,513.341,226660.38,1924872,2,409.7269,409.7271,409.73,107.7776,817.4392
28,0.1.2254,2,Unknown,ms2,727.26,99,2687,733.3746,174583.89,2507477.2,4,646.0349,646.0351,646.29,120,2580.11
