glycoform mass,?mass (ppm),structure,type,peptide mass [M],peptide sequence,theoretical glycopeptide mass,mod.,Links
1170.417,4.127,(Hex)3 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,501.291,n.a.,1671.708,,UniCarbKB
846.312,-6.16,(Hex)1 (HexNAc)2 (Deoxyhexose)1 (Pent)1,-,825.413,n.a.,1671.725,,UniCarbKB
1227.439,4.263,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2580.101,,UniCarbKB
700.254,-4.262,(Hex)1 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2580.123,,UniCarbKB
1227.439,3.488,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2580.101,,UniCarbKB
700.254,-5.038,(Hex)1 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2580.123,,UniCarbKB
1227.439,3.101,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2580.101,,UniCarbKB
700.254,-5.425,(Hex)1 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2580.123,,UniCarbKB
1389.492,3.647,(Hex)1 (HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2742.154,,UniCarbKB
862.307,-4.375,(Hex)2 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2742.176,,UniCarbKB
1184.433,4.336,(Hex)3 (HexNAc)2 (Deoxyhexose)2,-,1352.662,n.a.,2537.095,,UniCarbKB
1227.439,3.876,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2580.101,,UniCarbKB
700.254,-4.65,(Hex)1 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2580.123,,UniCarbKB
1227.439,3.876,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2580.101,,UniCarbKB
700.254,-4.65,(Hex)1 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2580.123,,UniCarbKB
1337.449,-2.811,(Hex)7 (HexNAc)1,-,938.497,n.a.,2275.946,,UniCarbKB
1337.449,-5.887,(Hex)7 (HexNAc)1,-,938.497,n.a.,2275.946,,UniCarbKB
1337.449,-5.447,(Hex)7 (HexNAc)1,-,938.497,n.a.,2275.946,,UniCarbKB
1337.449,-5.447,(Hex)7 (HexNAc)1,-,938.497,n.a.,2275.946,,UniCarbKB
1752.645,-5.178,(Hex)1 (HexNAc)2 (Deoxyhexose)2 + (Man)3(GlcNAc)2,hybrid/complex,545.281,n.a.,2297.926,,UniCarbKB
1337.449,-5.887,(Hex)7 (HexNAc)1,-,938.497,n.a.,2275.946,,UniCarbKB
1337.449,-5.447,(Hex)7 (HexNAc)1,-,938.497,n.a.,2275.946,,UniCarbKB
1337.449,-5.887,(Hex)7 (HexNAc)1,-,938.497,n.a.,2275.946,,UniCarbKB
1337.449,-4.569,(Hex)7 (HexNAc)1,-,938.497,n.a.,2275.946,,UniCarbKB
1576.576,-4.134,(HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2539.095,,UniCarbKB
1186.412,3.938,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
552.217,-4.03,(HexNAc)2 (Deoxyhexose)1,-,1928.871,n.a.,2481.088,,UniCarbKB
1576.576,-2.953,(HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2539.095,,UniCarbKB
1186.412,5.12,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1576.576,-2.953,(HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2539.095,,UniCarbKB
1186.412,5.12,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1389.492,-8.381,(Hex)1 (HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2863.213,,UniCarbKB
1079.402,-8.381,(Hex)2 (HexNAc)3 (Deoxyhexose)1,-,1783.811,n.a.,2863.213,,UniCarbKB
1738.629,-4.256,(Hex)1 (HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2701.148,,UniCarbKB
1227.439,-8.884,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2701.16,,UniCarbKB
821.28,-4.812,(Hex)3 (HexNAc)1 (Pent)1,-,1879.869,n.a.,2701.149,,UniCarbKB
1576.576,-3.347,(HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2539.095,,UniCarbKB
1186.412,4.726,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1738.629,-3.516,(Hex)1 (HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2701.148,,UniCarbKB
1227.439,-8.144,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2701.16,,UniCarbKB
821.28,-4.071,(Hex)3 (HexNAc)1 (Pent)1,-,1879.869,n.a.,2701.149,,UniCarbKB
1576.576,-4.528,(HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2539.095,,UniCarbKB
1186.412,3.545,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1444.534,-5.192,(HexNAc)2 (Deoxyhexose)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2407.053,,UniCarbKB
1054.37,3.324,(Hex)4 (HexNAc)2,-,1352.662,n.a.,2407.032,,UniCarbKB
1024.36,4.207,(Hex)3 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2377.022,,UniCarbKB
892.317,4.009,(Hex)3 (HexNAc)2,-,1352.662,n.a.,2244.979,,UniCarbKB
1738.629,-3.886,(Hex)1 (HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2701.148,,UniCarbKB
1227.439,-8.514,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2701.16,,UniCarbKB
821.28,-4.442,(Hex)3 (HexNAc)1 (Pent)1,-,1879.869,n.a.,2701.149,,UniCarbKB
1576.576,-3.741,(HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2539.095,,UniCarbKB
1186.412,4.332,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1576.576,-4.134,(HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2539.095,,UniCarbKB
1186.412,3.938,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1024.36,3.786,(Hex)3 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2377.022,,UniCarbKB
1576.576,-4.134,(HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2539.095,,UniCarbKB
1186.412,3.938,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1738.629,-2.776,(Hex)1 (HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2701.148,,UniCarbKB
1227.439,-7.403,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2701.16,,UniCarbKB
821.28,-3.331,(Hex)3 (HexNAc)1 (Pent)1,-,1879.869,n.a.,2701.149,,UniCarbKB
1576.576,-4.528,(HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2539.095,,UniCarbKB
1186.412,3.545,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1576.576,-3.347,(HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2539.095,,UniCarbKB
1186.412,4.726,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1079.402,-11.759,(Hex)2 (HexNAc)3 (Deoxyhexose)1,-,1386.714,n.a.,2466.116,,UniCarbKB
1024.36,2.945,(Hex)3 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2377.022,,UniCarbKB
1738.629,-3.516,(Hex)1 (HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2701.148,,UniCarbKB
1227.439,-8.144,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2701.16,,UniCarbKB
821.28,-4.071,(Hex)3 (HexNAc)1 (Pent)1,-,1879.869,n.a.,2701.149,,UniCarbKB
1444.534,-3.53,(HexNAc)2 (Deoxyhexose)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2407.053,,UniCarbKB
1054.37,4.985,(Hex)4 (HexNAc)2,-,1352.662,n.a.,2407.032,,UniCarbKB
1738.629,-4.627,(Hex)1 (HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2701.148,,UniCarbKB
1227.439,-9.254,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1473.721,n.a.,2701.16,,UniCarbKB
821.28,-5.182,(Hex)3 (HexNAc)1 (Pent)1,-,1879.869,n.a.,2701.149,,UniCarbKB
1576.576,-4.134,(HexNAc)2 (Deoxyhexose)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,962.519,n.a.,2539.095,,UniCarbKB
1186.412,3.938,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1079.402,-10.948,(Hex)2 (HexNAc)3 (Deoxyhexose)1,-,1386.714,n.a.,2466.116,,UniCarbKB
2076.75,15.069,(Hex)3 (HexNAc)2 (Deoxyhexose)2 + (Man)3(GlcNAc)2,hybrid/complex,637.307,n.a.,2714.057,,UniCarbKB
892.317,5.345,(Hex)3 (HexNAc)2,-,1352.662,n.a.,2244.979,,UniCarbKB
1298.476,-3.382,(HexNAc)2 + (Man)3(GlcNAc)2,hybrid/complex,1361.686,n.a.,2660.162,,UniCarbKB
1186.412,7.518,(Hex)4 (HexNAc)2 (Pent)1,-,1473.721,n.a.,2660.133,,UniCarbKB
876.322,7.518,(Hex)2 (HexNAc)2 (Deoxyhexose)1,-,1783.811,n.a.,2660.133,,UniCarbKB
1622.582,-3.279,(Hex)2 (HexNAc)2 + (Man)3(GlcNAc)2,hybrid/complex,938.497,n.a.,2561.079,,UniCarbKB
