glycoform mass,?mass (ppm),structure,type,peptide mass [M],peptide sequence,theoretical glycopeptide mass,mod.,Links
1227.439,4.296,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2580.101,,UniCarbKB
700.254,-4.419,(Hex)1 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2580.123,,UniCarbKB
1227.439,3.52,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2580.101,,UniCarbKB
700.254,-5.194,(Hex)1 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2580.123,,UniCarbKB
1227.439,3.133,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2580.101,,UniCarbKB
700.254,-5.581,(Hex)1 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2580.123,,UniCarbKB
1389.492,3.677,(Hex)1 (HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2742.154,,UniCarbKB
862.307,-4.522,(Hex)2 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2742.176,,UniCarbKB
1184.433,4.368,(Hex)3 (HexNAc)2 (Deoxyhexose)2,-,1352.662,n.a.,2537.095,,UniCarbKB
1227.439,3.908,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2580.101,,UniCarbKB
700.254,-4.806,(Hex)1 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2580.123,,UniCarbKB
1227.439,3.908,(HexNAc)1 (Pent)1 + (Man)3(GlcNAc)2,hybrid/complex,1352.662,n.a.,2580.101,,UniCarbKB
700.254,-4.806,(Hex)1 (HexNAc)2 (Pent)1,-,1879.869,n.a.,2580.123,,UniCarbKB
1186.412,3.971,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1186.412,5.153,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
1186.412,5.153,(Hex)4 (HexNAc)2 (Pent)1,-,1352.662,n.a.,2539.074,,UniCarbKB
