scans,query,obs.mass,GlycanMass,MonoisotopicY1mass,MonoisotopicPeptideMass,scan.time,precursorMZ,exact.mass,charge,peptideSequence,sequence,specificity,analysis,q.value,table2Sequence,n.sequence,title,modification
8248,1,2261.886072,1170,1294.53471107,1091.45533807,36.744,754.9693,2261.872,3,NQSCPSAESL,NQSCPSAESL,2,glycoMod,0,NQSCPSAESL,nQSCPSAESL,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn8248.txt,010000000000
8186,3,2261.883048,1170,1294.53471107,1091.45533807,36.5656666666667,1131.9488,2261.872,2,NQSCPSAESL,NQSCPSAESL,2,glycoMod,0,NQSCPSAESL,nQSCPSAESL,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn8186.txt,010000000000
8313,4,2261.885448,1170,1294.53471107,1091.45533807,36.9215,1131.95,2261.872,2,NQSCPSAESL,NQSCPSAESL,2,glycoMod,0,NQSCPSAESL,nQSCPSAESL,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn8313.txt,010000000000
8234,6,2099.832072,1008,1294.53471107,1091.45533807,36.7073333333333,700.9513,2099.82,3,NQSCPSAESL,NQSCPSAESL,2,glycoMod,0,NQSCPSAESL,nQSCPSAESL,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn8234.txt,010000000000
8331,7,2099.831848,1008,1294.53471107,1091.45533807,36.9693333333333,1050.9232,2099.82,2,NQSCPSAESL,NQSCPSAESL,2,glycoMod,0,NQSCPSAESL,nQSCPSAESL,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn8331.txt,010000000000
8461,9,2099.822448,1008,1294.53471107,1091.45533807,37.3466666666667,1050.9185,2099.82,2,NQSCPSAESL,NQSCPSAESL,2,glycoMod,0,NQSCPSAESL,nQSCPSAESL,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn8461.txt,010000000000
8283,10,2129.847972,1038,1294.53471107,1091.45533807,36.8385,710.9566,2129.83,3,NQSCPSAESL,NQSCPSAESL,2,glycoMod,0,NQSCPSAESL,nQSCPSAESL,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn8283.txt,010000000000
8365,13,2099.832672,1008,1294.53471107,1091.45533807,37.0623333333333,700.9515,2099.82,3,NQSCPSAESL,NQSCPSAESL,2,glycoMod,0,NQSCPSAESL,nQSCPSAESL,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn8365.txt,010000000000
12064,34,2352.080772,1170,1384.73104283,1181.65166983,48.1783333333333,785.0342,2352.069,3,ANNSGIAPGLIR,ANNSGIAPGLIR,1,glycoMod,0,ANNSGIAPGLIR,AnNSGIAPGLIR,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn12064.txt,00100000000000
9722,39,2409.098448,1227,1384.73104283,1181.65166983,41.2578333333333,1205.5565,2409.091,2,ANNSGIAPGLIR,ANNSGIAPGLIR,1,glycoMod,0,ANNSGIAPGLIR,AnNSGIAPGLIR,ljz_20131022_MR_Chym1_ELUTE.mzML.binary.sn9722.txt,00100000000000
